Area_desc,full_name
SCIENZE ECONOMICHE E STATISTICHE ,MARIALUISA MARZULLO
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessio Palatella
SCIENZE MEDICHE,VITTORIO DIBELLO
SCIENZE MEDICHE,Marco Sandri
SCIENZE ECONOMICHE E STATISTICHE ,Stefano  Calciolari
 SCIENZE MATEMATICHE E INFORMATICHE ,Daniele Spoladore
SCIENZE POLITICHE E SOCIALI ,Federico  Toth
SCIENZE MEDICHE,Antonio Paoli
SCIENZE ECONOMICHE E STATISTICHE ,Nita Handastya
SCIENZE MEDICHE,Messina Rossella
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Filippo Cavallo
SCIENZE POLITICHE E SOCIALI ,Luigi Burroni
SCIENZE MEDICHE,Edoardo Gioele Spinelli
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Pietro Tarchi
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,SIMONE CAUZZO
SCIENZE ECONOMICHE E STATISTICHE ,Daniele Vignoli
SCIENZE BIOLOGICHE ,Sharon Russo
SCIENZE MEDICHE,Carlo  Ferrarese
SCIENZE ECONOMICHE E STATISTICHE ,Maria Vittoria Bufali
SCIENZE BIOLOGICHE ,Elisa Sciurti
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Eleonora Fiorenzato
SCIENZE ECONOMICHE E STATISTICHE ,UMUT ELMAS
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",FABRIZIO MEZZA
SCIENZE MEDICHE,Licia Iacoviello
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Raffaele Gravina
SCIENZE ECONOMICHE E STATISTICHE ,Carlo  LALLO
SCIENZE MEDICHE,Alberto Catalano
SCIENZE MEDICHE,Klara Komici 
SCIENZE CHIMICHE ,Vincenzo Lettera
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Michele Perrelli
SCIENZE MEDICHE,ARIANNA SCALA
SCIENZE MEDICHE,Manuela Campisi
SCIENZE BIOLOGICHE ,Ornella Caputo
SCIENZE BIOLOGICHE ,FABIOLA MASCANZONI
SCIENZE BIOLOGICHE ,Matteo Cabrini 
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Laura Formenti
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",DANIELA LEMMO
SCIENZE MEDICHE,Martina Bulgari
